key,0,1,2,3,4
#,Image,Icon,UnlockCondition,SortKey,Name
int32,Image,Image,BannerCondition,uint16,str
0,,"ui/icon/082000/082091.tex","BannerCondition#0",0,"None"
1,"ui/icon/190000/190002.tex","ui/icon/082000/082091.tex","BannerCondition#1",1,"Solid Grey"
2,"ui/icon/190000/190003.tex","ui/icon/082000/082091.tex","BannerCondition#1",3,"Squares"
3,"ui/icon/190000/190004.tex","ui/icon/082000/082091.tex","BannerCondition#1",4,"Solid Purple"
4,"ui/icon/190000/190005.tex","ui/icon/082000/082091.tex","BannerCondition#1",5,"Tank Gradient"
5,"ui/icon/190000/190006.tex","ui/icon/082000/082091.tex","BannerCondition#1",7,"DPS Gradient"
6,"ui/icon/190000/190007.tex","ui/icon/082000/082091.tex","BannerCondition#1",6,"Healer Gradient"
7,"ui/icon/190000/190008.tex","ui/icon/082000/082091.tex","BannerCondition#1",2,"Vellum"
8,"ui/icon/190000/190009.tex","ui/icon/082000/082091.tex","BannerCondition#1",9,"Aether"
9,"ui/icon/190000/190010.tex","ui/icon/082000/082091.tex","BannerCondition#1",8,"Wood Panels"
10,"ui/icon/190000/190011.tex","ui/icon/082000/082091.tex","BannerCondition#1",10,"Void"
11,"ui/icon/190000/190301.tex","ui/icon/082000/082091.tex","BannerCondition#124",2150,"Paladin (Ornate)"
12,"ui/icon/190000/190302.tex","ui/icon/082000/082091.tex","BannerCondition#125",2151,"Warrior (Ornate)"
13,"ui/icon/190000/190303.tex","ui/icon/082000/082091.tex","BannerCondition#126",2152,"Dark Knight (Ornate)"
14,"ui/icon/190000/190304.tex","ui/icon/082000/082091.tex","BannerCondition#127",2153,"Gunbreaker (Ornate)"
15,"ui/icon/190000/190305.tex","ui/icon/082000/082091.tex","BannerCondition#128",2154,"White Mage (Ornate)"
16,"ui/icon/190000/190306.tex","ui/icon/082000/082091.tex","BannerCondition#129",2155,"Scholar (Ornate)"
17,"ui/icon/190000/190307.tex","ui/icon/082000/082091.tex","BannerCondition#130",2156,"Astrologian (Ornate)"
18,"ui/icon/190000/190308.tex","ui/icon/082000/082091.tex","BannerCondition#131",2157,"Sage (Ornate)"
19,"ui/icon/190000/190309.tex","ui/icon/082000/082091.tex","BannerCondition#132",2158,"Monk (Ornate)"
20,"ui/icon/190000/190310.tex","ui/icon/082000/082091.tex","BannerCondition#133",2159,"Dragoon (Ornate)"
21,"ui/icon/190000/190311.tex","ui/icon/082000/082091.tex","BannerCondition#134",2160,"Ninja (Ornate)"
22,"ui/icon/190000/190312.tex","ui/icon/082000/082091.tex","BannerCondition#135",2161,"Samurai (Ornate)"
23,"ui/icon/190000/190313.tex","ui/icon/082000/082091.tex","BannerCondition#136",2162,"Reaper (Ornate)"
