key,0,1,2,3,4
#,Image,Icon,UnlockCondition,SortKey,Name
int32,Image,Image,BannerCondition,uint16,str
0,,"ui/icon/082000/082093.tex","BannerCondition#0",0,"Nichts"
1,"ui/icon/192000/192001.tex","ui/icon/082000/082093.tex","BannerCondition#1",1,"Nichts"
2,"ui/icon/192000/192002.tex","ui/icon/082000/082093.tex","BannerCondition#1",2,"Lorbeer"
3,"ui/icon/192000/192003.tex","ui/icon/082000/082093.tex","BannerCondition#1",10,"Herzen"
4,"ui/icon/192000/192004.tex","ui/icon/082000/082093.tex","BannerCondition#1",11,"Sterne"
5,"ui/icon/192000/192005.tex","ui/icon/082000/082093.tex","BannerCondition#1",12,"Verteidiger"
6,"ui/icon/192000/192006.tex","ui/icon/082000/082093.tex","BannerCondition#1",14,"Angreifer"
7,"ui/icon/192000/192007.tex","ui/icon/082000/082093.tex","BannerCondition#1",13,"Heiler"
8,"ui/icon/192000/192008.tex","ui/icon/082000/082093.tex","BannerCondition#1",32,"Glitzer"
9,"ui/icon/192000/192009.tex","ui/icon/082000/082093.tex","BannerCondition#1",16,"Pfoten"
10,"ui/icon/192000/192010.tex","ui/icon/082000/082093.tex","BannerCondition#1",17,"Ausrufezeichen"
11,"ui/icon/192000/192011.tex","ui/icon/082000/082093.tex","BannerCondition#1",18,"Fragezeichen"
12,"ui/icon/192000/192301.tex","ui/icon/082000/082093.tex","BannerCondition#124",2000,"Paladin"
13,"ui/icon/192000/192302.tex","ui/icon/082000/082093.tex","BannerCondition#125",2001,"Krieger"
14,"ui/icon/192000/192303.tex","ui/icon/082000/082093.tex","BannerCondition#126",2002,"Dunkelritter"
15,"ui/icon/192000/192304.tex","ui/icon/082000/082093.tex","BannerCondition#127",2003,"Revolverklinge"
16,"ui/icon/192000/192305.tex","ui/icon/082000/082093.tex","BannerCondition#128",2004,"Weißmagier"
17,"ui/icon/192000/192306.tex","ui/icon/082000/082093.tex","BannerCondition#129",2005,"Gelehrter"
18,"ui/icon/192000/192307.tex","ui/icon/082000/082093.tex","BannerCondition#130",2006,"Astrologe"
19,"ui/icon/192000/192308.tex","ui/icon/082000/082093.tex","BannerCondition#131",2007,"Weiser"
20,"ui/icon/192000/192309.tex","ui/icon/082000/082093.tex","BannerCondition#132",2008,"Mönch"
21,"ui/icon/192000/192310.tex","ui/icon/082000/082093.tex","BannerCondition#133",2009,"Dragoon"
22,"ui/icon/192000/192311.tex","ui/icon/082000/082093.tex","BannerCondition#134",2010,"Ninja"
23,"ui/icon/192000/192312.tex","ui/icon/082000/082093.tex","BannerCondition#135",2011,"Samurai"
24,"ui/icon/192000/192313.tex","ui/icon/082000/082093.tex","BannerCondition#136",2012,"Schnitter"
