key,0,1,2,3,4,5,6,7,8,9
#,Category,SubType,Image,,UnlockCondition,,,,SortKey,Name
int32,byte,byte,Image,byte,BannerCondition,uint16,uint16,byte,uint16,str
0,0,0,,0,"BannerCondition#1",0,0,0,0,"None"
1,2,0,"ui/icon/194000/194002.tex",0,"BannerCondition#1",0,0,1,1,"Glossy"
2,2,0,"ui/icon/194000/194003.tex",0,"BannerCondition#1",0,0,1,6,"Squares"
3,2,0,"ui/icon/194000/194004.tex",0,"BannerCondition#1",0,0,1,7,"Dots"
4,2,0,"ui/icon/194000/194005.tex",0,"BannerCondition#1",0,0,1,8,"Checkerboard"
5,2,0,"ui/icon/194000/194006.tex",0,"BannerCondition#1",0,0,1,2,"Grid"
6,2,0,"ui/icon/194000/194007.tex",0,"BannerCondition#1",0,0,1,3,"Diagonal Lines"
7,2,0,"ui/icon/194000/194008.tex",0,"BannerCondition#1",0,0,1,4,"Diagonal Slice"
8,2,0,"ui/icon/194000/194009.tex",0,"BannerCondition#1",0,0,1,5,"Triangles"
9,2,0,"ui/icon/194000/194010.tex",0,"BannerCondition#1",0,0,1,10,"Vellum"
10,2,0,"ui/icon/194000/194011.tex",0,"BannerCondition#1",0,0,1,9,"Corner Accent"
11,1,0,"ui/icon/195000/195002.tex",0,"BannerCondition#1",0,0,1,1,"Shadow"
12,1,0,"ui/icon/195000/195003.tex",0,"BannerCondition#1",0,0,1,2,"Light"
13,1,0,"ui/icon/195000/195004.tex",0,"BannerCondition#1",0,0,1,3,"Dots"
14,1,0,"ui/icon/195000/195005.tex",0,"BannerCondition#1",0,0,1,4,"Notebook"
15,1,0,"ui/icon/195000/195006.tex",0,"BannerCondition#1",0,0,1,5,"Scrapbook"
16,1,0,"ui/icon/195000/195007.tex",0,"BannerCondition#1",0,0,1,6,"Arcane Sigil"
17,1,0,"ui/icon/195000/195008.tex",0,"BannerCondition#1",0,0,1,7,"Vellum"
18,1,0,"ui/icon/195000/195009.tex",0,"BannerCondition#1",0,0,1,8,"Paint"
19,1,0,"ui/icon/195000/195010.tex",0,"BannerCondition#1",0,0,1,9,"Metal Signboard"
20,1,0,"ui/icon/195000/195011.tex",0,"BannerCondition#1",0,0,1,10,"Parchment Stack"
21,3,0,"ui/icon/197000/197002.tex",0,"BannerCondition#1",0,0,1,3,"Banner"
22,3,0,"ui/icon/197000/197003.tex",0,"BannerCondition#1",0,0,1,4,"Welcome Back"
23,3,0,"ui/icon/197000/197004.tex",0,"BannerCondition#1",0,0,1,5,"Curved Metal"
24,3,0,"ui/icon/197000/197005.tex",0,"BannerCondition#1",0,0,1,6,"Tank Marker"
25,3,0,"ui/icon/197000/197006.tex",0,"BannerCondition#1",0,0,1,8,"DPS Marker"
26,3,0,"ui/icon/197000/197007.tex",0,"BannerCondition#1",0,0,1,7,"Healer Marker"
27,3,0,"ui/icon/197000/197008.tex",0,"BannerCondition#1",0,0,1,1,"Simple"
28,3,0,"ui/icon/197000/197009.tex",0,"BannerCondition#1",0,0,1,2,"Beveled"
29,3,0,"ui/icon/197000/197010.tex",0,"BannerCondition#1",0,0,1,9,"Notes"
30,3,0,"ui/icon/197000/197011.tex",0,"BannerCondition#1",0,0,1,10,"Scrapbook"
31,4,0,"ui/icon/198000/198002.tex",0,"BannerCondition#1",0,0,1,3,"Black"
32,4,0,"ui/icon/198000/198003.tex",0,"BannerCondition#1",0,0,1,2,"White"
33,4,0,"ui/icon/198000/198004.tex",0,"BannerCondition#1",0,0,1,5,"Gemstone Inlay (Thick)"
34,4,0,"ui/icon/198000/198005.tex",0,"BannerCondition#1",0,0,1,4,"Gemstone Inlay (Thin)"
35,4,0,"ui/icon/198000/198006.tex",0,"BannerCondition#1",0,0,1,6,"Limsa Lominsa"
36,4,0,"ui/icon/198000/198007.tex",0,"BannerCondition#1",0,0,1,7,"Gridania"
37,4,0,"ui/icon/198000/198008.tex",0,"BannerCondition#1",0,0,1,8,"Ul'dah"
38,4,0,"ui/icon/198000/198009.tex",0,"BannerCondition#1",0,0,1,1,"Metal"
39,4,0,"ui/icon/198000/198010.tex",0,"BannerCondition#298",0,0,1,10,"Triple Triad Ex."
40,4,0,"ui/icon/198000/198011.tex",0,"BannerCondition#298",0,0,1,9,"Triple Triad"
41,5,0,"ui/icon/199000/199002.tex",0,"BannerCondition#1",0,0,1,1,"Gil"
42,5,0,"ui/icon/199000/199003.tex",0,"BannerCondition#1",0,0,1,2,"Quill"
43,5,0,"ui/icon/199000/199004.tex",0,"BannerCondition#1",0,0,1,3,"Stickers"
44,5,0,"ui/icon/199000/199005.tex",0,"BannerCondition#1",0,0,1,4,"Maps"
45,5,0,"ui/icon/199000/199006.tex",0,"BannerCondition#1",0,0,1,5,"Ribbon"
46,5,0,"ui/icon/199000/199007.tex",0,"BannerCondition#1",0,0,1,6,"Letters"
47,5,0,"ui/icon/199000/199008.tex",0,"BannerCondition#1",0,0,1,7,"Music"
48,5,0,"ui/icon/199000/199009.tex",0,"BannerCondition#1",0,0,1,8,"Bouquet"
49,5,0,"ui/icon/199000/199010.tex",0,"BannerCondition#1",0,0,1,9,"Notes"
