key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,,Icon,Order,Glasses[0],Glasses[1],Glasses[2],Glasses[3],Glasses[4],Glasses[5],Glasses[6],Glasses[7],Glasses[8],Glasses[9],Glasses[10],Glasses[11],Singular,,Plural,,,,,,Name
int32,int16,Image,uint16,Glasses,Glasses,Glasses,Glasses,Glasses,Glasses,Glasses,Glasses,Glasses,Glasses,Glasses,Glasses,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str
0,0,"ui/icon/200000/200049.tex",0,"Oval Spectacles","Silver Oval Spectacles","Gold Oval Spectacles","Black Oval Spectacles","White Oval Spectacles","Grey Oval Spectacles","Red Oval Spectacles","Blue Oval Spectacles","Green Oval Spectacles","Brass Oval Spectacles","Purple Oval Spectacles","Brown Oval Spectacles","オーバルグラス",0,"",0,0,1,0,0,"オーバルグラス"
1,0,"ui/icon/200000/200085.tex",1,"Shaded Spectacles","Silver Shaded Spectacles","Gold Shaded Spectacles","Black Shaded Spectacles","White Shaded Spectacles","Grey Shaded Spectacles","Red Shaded Spectacles","Blue Shaded Spectacles","Green Shaded Spectacles","Brass Shaded Spectacles","Purple Shaded Spectacles","Brown Shaded Spectacles","シェイデッドグラス",0,"",0,0,1,0,0,"シェイデッドグラス"
2,0,"ui/icon/200000/200061.tex",2,"Classic Spectacles","Silver Classic Spectacles","Gold Classic Spectacles","Black Classic Spectacles","White Classic Spectacles","Grey Classic Spectacles","Red Classic Spectacles","Blue Classic Spectacles","Green Classic Spectacles","Brass Classic Spectacles","Purple Classic Spectacles","Brown Classic Spectacles","クラシックグラス",0,"",0,0,1,0,0,"クラシックグラス"
3,0,"ui/icon/200000/200013.tex",3,"Rose-colored Spectacles","Silver Rose-colored Spectacles","Gold Rose-colored Spectacles","Black Rose-colored Spectacles","White Rose-colored Spectacles","Grey Rose-colored Spectacles","Red Rose-colored Spectacles","Blue Rose-colored Spectacles","Green Rose-colored Spectacles","Brass Rose-colored Spectacles","Purple Rose-colored Spectacles","Brown Rose-colored Spectacles","ローズカラースペクタクルズ",0,"",0,0,1,0,0,"ローズカラースペクタクルズ"
4,0,"ui/icon/200000/200001.tex",4,"Simple Spectacles","Silver Spectacles","Gold Spectacles","Black Spectacles","White Spectacles","Grey Spectacles","Red Spectacles","Blue Spectacles","Green Spectacles","Brass Spectacles","Purple Spectacles","Brown Spectacles","ベーシックスペクタクルズ",0,"",0,0,1,0,0,"ベーシックスペクタクルズ"
5,0,"ui/icon/200000/200025.tex",5,"Monocle","Silver Monocle","Gold Monocle","Black Monocle","White Monocle","Grey Monocle","Red Monocle","Blue Monocle","Green Monocle","Brass Monocle","Purple Monocle","Brown Monocle","モノクル",0,"",0,0,1,0,0,"モノクル"
6,0,"ui/icon/200000/200037.tex",6,"Contemporary Pince-nez","Silver Contemporary Pince-nez","Gold Contemporary Pince-nez","Black Contemporary Pince-nez","White Contemporary Pince-nez","Grey Contemporary Pince-nez","Red Contemporary Pince-nez","Blue Contemporary Pince-nez","Green Contemporary Pince-nez","Brass Contemporary Pince-nez","Purple Contemporary Pince-nez","Brown Contemporary Pince-nez","モダンパンスネ",0,"",0,0,1,0,0,"モダンパンスネ"
7,0,"ui/icon/200000/200097.tex",7,"Rimless Glasses","Silver Rimless Glasses","Gold Rimless Glasses","Black Rimless Glasses","White Rimless Glasses","Grey Rimless Glasses","Red Rimless Glasses","Blue Rimless Glasses","Green Rimless Glasses","Brass Rimless Glasses","Purple Rimless Glasses","Brown Rimless Glasses","リムレスグラス",0,"",0,0,1,0,0,"リムレスグラス"
8,0,"ui/icon/200000/200109.tex",8,"Thick-rimmed Glasses","Silver Thick-rimmed Glasses","Gold Thick-rimmed Glasses","Black Thick-rimmed Glasses","White Thick-rimmed Glasses","Grey Thick-rimmed Glasses","Red Thick-rimmed Glasses","Blue Thick-rimmed Glasses","Green Thick-rimmed Glasses","Brass Thick-rimmed Glasses","Purple Thick-rimmed Glasses","Brown Thick-rimmed Glasses","ボールドリムグラス",0,"",0,0,1,0,0,"ボールドリムグラス"
